dimension,factor,option,rawScore,weight,weightedScore,source,assumed
功能属性,用地功能,重要医疗文体设施、综合商业、邻里中心,4,0.0795,0.318,现有输入/预设数据,否
功能属性,开发强度,建筑面积 3 万-10 万平方米,3,0.3393,1.0179,现有输入/预设数据,否
区位属性,区位能级,社区级中心,2,0.1407,0.2814,现有输入/预设数据,否
交通属性,出行客流,日均进站量小于 2500,1,0.2535,0.2535,使用方输入：日均客流,否
交通属性,高效换乘,一般站,2,0.0441,0.0882,现有输入/预设数据,否
地下属性,地下空间,有，功能为商业、公共服务、文体、商业+停车或 P+R 停车,4,0.1429,0.5716,现有输入/预设数据,否
